"","model","nugget","range","psill","estimType","R2","RMSE"
"61","Gau",0.1,80000,3.06594973699591,"OLS",0.116165981837426,1.66044555400548
"62","Gau",0.1,80000,3.06594973699591,"REML",0.610714912146113,1.0847060069944
"63","Mat",0.1,80000,3.06594973699591,"OLS",0.573680446950181,1.1411254654763
"64","Mat",0.1,80000,3.06594973699591,"REML",0.625344482087029,1.06354758890091
"65","Exp",0.25,10000,3.06594973699591,"OLS",0.600569104468019,1.11691581216384
"66",,,,,,,
"67","Sph",0.25,10000,3.06594973699591,"OLS",0.0320548114502311,1.74847034349063
"68","Sph",0.25,10000,3.06594973699591,"REML",0.00322225760162898,1.75261152994479
"69","Gau",0.25,10000,3.06594973699591,"OLS",0.0743879781746914,1.67882304683725
"70","Gau",0.25,10000,3.06594973699591,"REML",0.00887576985803917,1.75280720577799
"71","Mat",0.25,10000,3.06594973699591,"OLS",0.558991084219365,1.16058477358726
"72",,,,,,,
"73","Exp",0.25,30000,3.06594973699591,"OLS",0.562102953522781,1.15556066135063
"74",,,,,,,
"75","Sph",0.25,30000,3.06594973699591,"OLS",0.155458975171758,1.6377323358371
"76","Sph",0.25,30000,3.06594973699591,"REML",0.0458682654567989,1.69642686001108
"77","Gau",0.25,30000,3.06594973699591,"OLS",0.287747624326193,1.48341412728799
"78","Gau",0.25,30000,3.06594973699591,"REML",0.349314641198243,1.41332553573806
"79","Mat",0.25,30000,3.06594973699591,"OLS",0.624745336707008,1.08728842000813
"80",,,,,,,
"81","Exp",0.25,50000,3.06594973699591,"OLS",0.557956463693902,1.16000889830014
"82","Exp",0.25,50000,3.06594973699591,"REML",0.549284205456828,1.16610814537364
"83","Sph",0.25,50000,3.06594973699591,"OLS",0.174491231520781,1.62877640291902
"84",,,,,,,
"85","Gau",0.25,50000,3.06594973699591,"OLS",0.306364416808489,1.49290559974842
"86","Gau",0.25,50000,3.06594973699591,"REML",0.451945886084592,1.33298243874055
"87","Mat",0.25,50000,3.06594973699591,"OLS",0.593222616750234,1.12921058601138
"88","Mat",0.25,50000,3.06594973699591,"REML",0.598260891194603,1.10212858127129
"89","Exp",0.25,80000,3.06594973699591,"OLS",0.56775062444521,1.15029572468045
"90","Exp",0.25,80000,3.06594973699591,"REML",0.591584205335769,1.11041962781292
"91","Sph",0.25,80000,3.06594973699591,"OLS",0.432708510541124,1.31038054487404
"92","Sph",0.25,80000,3.06594973699591,"REML",0.424005071532066,1.31838369938266
"93","Gau",0.25,80000,3.06594973699591,"OLS",0.134599903894099,1.64341829223761
"94","Gau",0.25,80000,3.06594973699591,"REML",0.600695663406685,1.09766397908763
"95","Mat",0.25,80000,3.06594973699591,"OLS",0.524728769867574,1.20429026983995
"96","Mat",0.25,80000,3.06594973699591,"REML",0.631957285585345,1.05534166580715
"97","Exp",0.5,10000,3.06594973699591,"OLS",0.570296907798231,1.15012176803664
"98",,,,,,,
"99","Sph",0.5,10000,3.06594973699591,"OLS",0.119349294437742,1.77380147114023
"100","Sph",0.5,10000,3.06594973699591,"REML",0.0299826872866645,1.77454157800899
"101","Gau",0.5,10000,3.06594973699591,"OLS",0.182265096936351,1.6206844322769
"102","Gau",0.5,10000,3.06594973699591,"REML",0.0412389779117259,1.7779110320073
"103","Mat",0.5,10000,3.06594973699591,"OLS",0.571938307158193,1.14460721328132
"104",,,,,,,
"105","Exp",0.5,30000,3.06594973699591,"OLS",0.560786345500718,1.15531569655038
"106",,,,,,,
"107","Sph",0.5,30000,3.06594973699591,"OLS",0.0998576141016656,1.66458933031901
"108","Sph",0.5,30000,3.06594973699591,"REML",0.0618826361890771,1.68512994078321
"109","Gau",0.5,30000,3.06594973699591,"OLS",0.305181645274937,1.46858201483395
"110","Gau",0.5,30000,3.06594973699591,"REML",0.292466984900989,1.47959977126725
"111","Mat",0.5,30000,3.06594973699591,"OLS",0.553742318819231,1.16472295469257
"112",,,,,,,
"113","Exp",0.5,50000,3.06594973699591,"OLS",0.564866008778688,1.15163867614091
"114","Exp",0.5,50000,3.06594973699591,"REML",0.593987408904446,1.10737189828659
"115","Sph",0.5,50000,3.06594973699591,"OLS",0.120026240253185,1.65434982553507
"116",,,,,,,
